city_id,admin_code_6,city_name_cn,province_code,province_name,prefecture_type,sample_tier,metric_year,period_end,geo_scope,data_status,gdp_current_100m,gdp_real_growth_pct,resident_population_10k,general_public_revenue_100m,general_public_expenditure_100m,gov_fund_revenue_100m,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,debt_limit_utilization_pct,statutory_debt_to_gdp_pct,statutory_debt_to_revenue_pct,statutory_debt_to_general_revenue_pct,fiscal_self_sufficiency_pct,fund_revenue_dependence_pct,gov_fund_to_general_revenue_pct,gov_fund_source_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
CN-110000,110000,北京市,11,北京市,直辖市,separate,2018,2018-12-31,prefecture_whole,secondary_debt,30319.98,6.60,1368.00,5785.92,7467.52,,,2034.03,,2214.86,,4248.89,,14.01,73.43,73.43,77.48,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-120000,120000,天津市,12,天津市,直辖市,separate,2018,2018-12-31,prefecture_whole,official_debt,18809.64,3.60,1066.00,2106.19,3104.53,,,1399.58,,2678.78,,4078.36,,21.68,193.64,193.64,67.84,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。
CN-130100,130100,石家庄市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,official_debt,6082.62,7.42,977.00,519.68,991.61,560.87,807.86,686.53,422.32,386.86,1230.18,1073.39,87.25,17.65,206.55,206.55,52.41,51.91,107.93,城市预算执行报告（全市口径，A1精确来源）,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018;SRC-A1-SHIJIAZHUANG-CITY-FUND-2018,A1,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2018年石家庄市全市政府性基金预算收入精确披露；来源等级为A1，保留执行状态，不改写为最终决算。
CN-130200,130200,唐山市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,secondary_debt,6954.97,7.30,757.00,432.43,749.29,,,,,,,444.85,,6.40,102.87,102.87,57.71,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-130300,130300,秦皇岛市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,secondary_debt,1635.56,6.60,299.00,133.43,291.25,,,,,,,237.32,,14.51,177.86,177.86,45.81,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-130400,130400,邯郸市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,secondary_debt,3454.57,6.55,1054.00,243.40,626.00,,,,,,,277.41,,8.03,113.97,113.97,38.88,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-130500,130500,邢台市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,secondary_debt,2150.76,7.00,793.00,149.00,494.84,,,,,,,389.67,,18.12,261.52,261.52,30.11,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-130600,130600,保定市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,official_debt,3589.79,6.60,1204.00,286.36,1050.47,,,124.36,,272.48,,396.84,,11.05,138.58,138.58,27.26,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。
CN-130700,130700,张家口市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,secondary_debt,1536.62,7.50,465.00,156.88,560.26,,,,,,,278.90,,18.15,177.78,177.78,28.00,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。
CN-130800,130800,承德市,13,河北省,地级市,core,2018,2018-12-31,prefecture_whole,official_debt,1481.51,6.44,381.00,104.55,377.17,,,319.58,,181.45,,501.03,,33.82,479.23,479.23,27.72,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。
