calculation_id,target_table,target_record_id,target_field,formula_id,formula_version,input_record_ids,input_fields,output_value,output_unit,calculation_status,calculated_at,note
CAL-CN-110000-2018-statutory_debt_balance_100m,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_balance_100m,F-STATUTORY-BALANCE,v1.0,MACRO-CN-110000-2018-PREFECTURE,general_debt_balance_100m;special_debt_balance_100m,4248.89,亿元,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-110000-2018-statutory_debt_to_gdp_pct,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_to_gdp_pct,F-DEBT-GDP,v1.0,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_balance_100m;gdp_current_100m,14.01,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-110000-2018-statutory_debt_to_revenue_pct,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_to_revenue_pct,F-DEBT-REV,v1.0,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_balance_100m;general_public_revenue_100m,73.43,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-110000-2018-statutory_debt_to_general_revenue_pct,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_to_general_revenue_pct,F-DEBT-REV-LEGACY,v1.0,MACRO-CN-110000-2018-PREFECTURE,statutory_debt_balance_100m;general_public_revenue_100m,73.43,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-110000-2018-fiscal_self_sufficiency_pct,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,fiscal_self_sufficiency_pct,F-FISCAL-SELF,v1.0,MACRO-CN-110000-2018-PREFECTURE,general_public_revenue_100m;general_public_expenditure_100m,77.48,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-120000-2018-statutory_debt_balance_100m,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_balance_100m,F-STATUTORY-BALANCE,v1.0,MACRO-CN-120000-2018-PREFECTURE,general_debt_balance_100m;special_debt_balance_100m,4078.36,亿元,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-120000-2018-statutory_debt_to_gdp_pct,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_to_gdp_pct,F-DEBT-GDP,v1.0,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_balance_100m;gdp_current_100m,21.68,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-120000-2018-statutory_debt_to_revenue_pct,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_to_revenue_pct,F-DEBT-REV,v1.0,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_balance_100m;general_public_revenue_100m,193.64,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-120000-2018-statutory_debt_to_general_revenue_pct,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_to_general_revenue_pct,F-DEBT-REV-LEGACY,v1.0,MACRO-CN-120000-2018-PREFECTURE,statutory_debt_balance_100m;general_public_revenue_100m,193.64,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
CAL-CN-120000-2018-fiscal_self_sufficiency_pct,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,fiscal_self_sufficiency_pct,F-FISCAL-SELF,v1.0,MACRO-CN-120000-2018-PREFECTURE,general_public_revenue_100m;general_public_expenditure_100m,67.84,%,calculated,2026-08-01T00:00:00+08:00,分母缺失/为零时不生成结果；勾稽值仅在两项分项同时存在时生成。
